algorithm,scheme,sample_index,latency_ms
Add,contract,41,1.027864
Add,contract,42,0.886537
Add,contract,43,0.84641
Add,contract,44,0.761749
Add,contract,45,0.831321
Add,contract,46,0.862881
Add,contract,47,0.933209
Add,contract,48,0.78868
Add,contract,49,0.754331
Add,contract,50,0.810822
Add,contract,51,0.859464
Add,contract,52,0.796365
Add,contract,53,0.787097
Add,contract,54,0.834127
Add,contract,55,0.755598
Add,contract,56,0.839036
Add,contract,57,0.826366
Add,contract,58,0.799526
Add,contract,59,0.839026
Add,contract,60,0.862911
Add,contract,61,0.856559
Add,contract,62,0.795062
Add,contract,63,0.863617
Add,contract,64,0.802483
Add,contract,65,0.723496
Add,contract,66,0.861914
Add,contract,67,0.797202
Add,contract,68,0.768231
Add,contract,69,0.811083
Add,contract,70,0.771387
Add,contract,71,0.929699
Add,contract,72,0.76743
Add,contract,73,0.673445
Add,contract,74,0.810101
Add,contract,75,0.840373
Add,contract,76,1.027025
Add,contract,77,0.962721
Add,contract,78,0.945459
Add,contract,79,1.607709
Add,contract,80,1.056089
Add,contract,81,0.89878
Add,contract,82,1.100984
Add,contract,83,0.896575
Add,contract,84,0.849686
Add,contract,85,0.841676
Add,contract,86,0.93296
Add,contract,87,0.828651
Add,contract,88,1.058099
Add,contract,89,0.943214
Add,contract,90,0.842803
Add,contract,91,0.897577
Add,contract,92,0.90428
Add,contract,93,1.094698
Add,contract,94,1.04851
Add,contract,95,0.983591
Add,contract,96,1.008113
Add,contract,97,1.017481
Add,contract,98,0.974755
Add,contract,99,0.813066
Add,contract,100,0.922555
Add,precompile,1,0.958463
Add,precompile,2,0.850248
Add,precompile,3,0.876988
Add,precompile,4,0.875245
Add,precompile,5,0.932565
Add,precompile,6,0.879331
Add,precompile,7,0.935369
Add,precompile,8,0.939352
Add,precompile,9,0.851776
Add,precompile,10,0.989873
Add,precompile,11,0.892066
Add,precompile,12,0.874173
Add,precompile,13,0.840665
Add,precompile,14,0.976052
Add,precompile,15,0.82284
Add,precompile,16,0.955193
Add,precompile,17,0.861919
Add,precompile,18,0.882593
Add,precompile,19,0.899531
Add,precompile,20,0.905007
Add,precompile,21,1.335922
Add,precompile,22,1.395398
Add,precompile,23,0.926497
Add,precompile,24,0.915857
Add,precompile,25,0.808013
Add,precompile,26,0.805533
Add,precompile,27,1.04596
Add,precompile,28,0.78335
Add,precompile,29,0.831662
Add,precompile,30,0.823331
Add,precompile,31,0.927073
Add,precompile,32,0.883871
Add,precompile,33,0.812766
Add,precompile,34,0.886075
Add,precompile,35,0.799136
Add,precompile,36,0.871828
Add,precompile,37,0.881982
Add,precompile,38,1.05659
Add,precompile,39,0.847653
Add,precompile,40,0.919845
Add,precompile,41,0.961298
Add,precompile,42,0.844346
Add,precompile,43,0.828275
Add,precompile,44,0.868752
Add,precompile,45,0.966739
Add,precompile,46,0.837664
Add,precompile,47,0.763983
Add,precompile,48,0.992858
Add,precompile,49,0.854967
Add,precompile,50,0.944807
Add,precompile,51,0.901585
Add,precompile,52,0.800653
Add,precompile,53,0.905045
Add,precompile,54,0.772385
Add,precompile,55,0.791911
Add,precompile,56,0.727032
Add,precompile,57,0.819554
Add,precompile,58,0.74663
Add,precompile,59,0.828085
Add,precompile,60,0.903248
Add,precompile,61,0.785323
Add,precompile,62,0.879443
Add,precompile,63,0.869414
Add,precompile,64,0.797416
Add,precompile,65,0.737062
Add,precompile,66,0.74657
Add,precompile,67,0.754139
Add,precompile,68,0.944482
Add,precompile,69,0.881376
Add,precompile,70,0.886467
Add,precompile,71,0.827999
Add,precompile,72,1.366795
Add,precompile,73,0.922605
Add,precompile,74,0.791696
Add,precompile,75,0.770525
Add,precompile,76,0.734597
Add,precompile,77,0.745979
Add,precompile,78,1.069629
Add,precompile,79,0.918737
Add,precompile,80,0.85926
Add,precompile,81,0.971147
Add,precompile,82,0.963213
Add,precompile,83,0.826082
Add,precompile,84,0.801023
Add,precompile,85,0.874033
Add,precompile,86,0.847717
Add,precompile,87,0.954
Add,precompile,88,0.81483
Add,precompile,89,0.818691
Add,precompile,90,0.90926
Add,precompile,91,0.813086
Add,precompile,92,0.902602
Add,precompile,93,0.892873
Add,precompile,94,0.941601
Add,precompile,95,0.861414
Add,precompile,96,0.968723
Add,precompile,97,0.884687
Add,precompile,98,0.847513
Add,precompile,99,0.820616
Add,precompile,100,0.863863
Sha256,upgrade,1,1.191891
Sha256,upgrade,2,1.065753
Sha256,upgrade,3,0.992588
Sha256,upgrade,4,0.985218
Sha256,upgrade,5,0.962878
Sha256,upgrade,6,0.912118
Sha256,upgrade,7,0.963332
Sha256,upgrade,8,0.829128
Sha256,upgrade,9,0.944993
Sha256,upgrade,10,0.82552
Sha256,upgrade,11,0.781717
Sha256,upgrade,12,0.82814
Sha256,upgrade,13,0.908013
Sha256,upgrade,14,0.955401
Sha256,upgrade,15,1.042168
Sha256,upgrade,16,0.929018
Sha256,upgrade,17,0.916523
Sha256,upgrade,18,0.945619
Sha256,upgrade,19,0.983274
Sha256,upgrade,20,1.165507
Sha256,upgrade,21,1.090785
Sha256,upgrade,22,1.066298
Sha256,upgrade,23,0.930106
Sha256,upgrade,24,0.852592
Sha256,upgrade,25,0.950153
Sha256,upgrade,26,1.006109
Sha256,upgrade,27,0.968091
Sha256,upgrade,28,0.86722
Sha256,upgrade,29,0.840272
Sha256,upgrade,30,1.555184
Sha256,upgrade,31,1.073051
Sha256,upgrade,32,0.971722
Sha256,upgrade,33,1.131483
Sha256,upgrade,34,1.107111
Sha256,upgrade,35,1.589544
Sha256,upgrade,36,1.481619
Sha256,upgrade,37,1.042693
Sha256,upgrade,38,1.225852
Sha256,upgrade,39,1.102928
Sha256,upgrade,40,0.951811
Sha256,upgrade,41,0.917766
Sha256,upgrade,42,0.961763
Sha256,upgrade,43,0.8829
Sha256,upgrade,44,0.942152
Sha256,upgrade,45,0.871022
Sha256,upgrade,46,0.945398
Sha256,upgrade,47,0.773451
Sha256,upgrade,48,0.961369
Sha256,upgrade,49,0.986617
Sha256,upgrade,50,0.902988
Sha256,upgrade,51,1.18818
Sha256,upgrade,52,1.165216
Sha256,upgrade,53,1.152466
Sha256,upgrade,54,0.835795
Sha256,upgrade,55,0.929553
Sha256,upgrade,56,0.890208
Sha256,upgrade,57,0.737322
Sha256,upgrade,58,0.907196
Sha256,upgrade,59,0.862525
Sha256,upgrade,60,0.904741
Sha256,upgrade,61,1.014606
Sha256,upgrade,62,1.097928
Sha256,upgrade,63,1.166338
Sha256,upgrade,64,0.812325
Sha256,upgrade,65,0.947352
Sha256,upgrade,66,0.793699
Sha256,upgrade,67,0.839731
Sha256,upgrade,68,0.716889
Sha256,upgrade,69,0.917485
Sha256,upgrade,70,1.140804
Sha256,upgrade,71,1.301341
Sha256,upgrade,72,1.162321
Sha256,upgrade,73,1.074894
Sha256,upgrade,74,0.981767
Sha256,upgrade,75,0.854415
Sha256,upgrade,76,0.763161
Sha256,upgrade,77,1.009104
Sha256,upgrade,78,1.099903
Sha256,upgrade,79,1.2481
Sha256,upgrade,80,0.949337
Sha256,upgrade,81,1.315126
Sha256,upgrade,82,0.915712
Sha256,upgrade,83,1.061575
Sha256,upgrade,84,1.039898
Sha256,upgrade,85,0.972851
Sha256,upgrade,86,1.050919
Sha256,upgrade,87,1.024107
Sha256,upgrade,88,1.119771
Sha256,upgrade,89,1.162501
Sha256,upgrade,90,0.91263
Sha256,upgrade,91,1.040616
Sha256,upgrade,92,0.99652
Sha256,upgrade,93,1.043401
Sha256,upgrade,94,1.120301
Sha256,upgrade,95,0.958573
Sha256,upgrade,96,1.159946
Sha256,upgrade,97,1.035745
Sha256,upgrade,98,0.863713
Sha256,upgrade,99,0.951289
Sha256,upgrade,100,0.920341
Sha256,contract,1,0.867695
Sha256,contract,2,0.829188
Sha256,contract,3,0.794671
Sha256,contract,4,0.752075
Sha256,contract,5,0.791696
Sha256,contract,6,0.763041
Sha256,contract,7,0.939127
Sha256,contract,8,0.784839
Sha256,contract,9,0.738489
Sha256,contract,10,0.775882
Sha256,contract,11,0.682277
Sha256,contract,12,0.696365
Sha256,contract,13,0.703338
Sha256,contract,14,0.815345
Sha256,contract,15,0.843885
Sha256,contract,16,0.790349
Sha256,contract,17,0.870706
Sha256,contract,18,0.880926
Sha256,contract,19,1.078772
Sha256,contract,20,0.933917
Sha256,contract,21,0.817585
Sha256,contract,22,0.896256
Sha256,contract,23,0.809864
Sha256,contract,24,0.734283
Sha256,contract,25,0.748594
Sha256,contract,26,0.771898
Sha256,contract,27,0.931431
Sha256,contract,28,0.870988
Sha256,contract,29,0.754796
Sha256,contract,30,0.750007
Sha256,contract,31,0.781446
Sha256,contract,32,0.859345
Sha256,contract,33,0.774412
Sha256,contract,34,0.819023
Sha256,contract,35,0.917666
Sha256,contract,36,1.139293
Sha256,contract,37,1.103058
Sha256,contract,38,1.009991
Sha256,contract,39,0.905146
Sha256,contract,40,0.918527
Sha256,contract,41,0.879138
Sha256,contract,42,0.78122
Sha256,contract,43,0.798459
Sha256,contract,44,0.946781
Sha256,contract,45,0.844252
Sha256,contract,46,0.848204
Sha256,contract,47,0.792868
Sha256,contract,48,0.834568
Sha256,contract,49,0.805963
Sha256,contract,50,0.790575
Sha256,contract,51,0.730183
Sha256,contract,52,0.736772
Sha256,contract,53,0.75907
Sha256,contract,54,0.847201
Sha256,contract,55,1.307381
Sha256,contract,56,1.013403
Sha256,contract,57,0.847056
Sha256,contract,58,0.933361
Sha256,contract,59,0.726676
Sha256,contract,60,0.841717
Sha256,contract,61,0.775495
Sha256,contract,62,0.820881
Sha256,contract,63,1.326057
Sha256,contract,64,0.85706
Sha256,contract,65,0.796324
Sha256,contract,66,0.777395
Sha256,contract,67,0.816608
Sha256,contract,68,0.926592
Sha256,contract,69,0.850739
Sha256,contract,70,0.740755
Sha256,contract,71,0.788084
Sha256,contract,72,0.889763
Sha256,contract,73,0.962266
Sha256,contract,74,1.519369
Sha256,contract,75,1.40152
Sha256,contract,76,1.11151
Sha256,contract,77,0.95646
Sha256,contract,78,1.027425
Sha256,contract,79,1.119969
Sha256,contract,80,0.842487
Sha256,contract,81,0.847277
Sha256,contract,82,0.917165
Sha256,contract,83,0.875335
Sha256,contract,84,0.875595
Sha256,contract,85,0.840434
Sha256,contract,86,0.815261
Sha256,contract,87,0.752718
Sha256,contract,88,0.844466
Sha256,contract,89,0.795683
Sha256,contract,90,0.848269
Sha256,contract,91,0.823406
Sha256,contract,92,0.802657
Sha256,contract,93,0.773196
Sha256,contract,94,1.009962
Sha256,contract,95,0.780904
Sha256,contract,96,0.839237
Sha256,contract,97,0.764395
Sha256,contract,98,0.839716
Sha256,contract,99,0.817566
Sha256,contract,100,0.873722
Sha256,precompile,1,0.841215
Sha256,precompile,2,0.856806
Sha256,precompile,3,0.806344
Sha256,precompile,4,1.66172
Sha256,precompile,5,1.47494
Sha256,precompile,6,0.844797
Sha256,precompile,7,0.900218
Sha256,precompile,8,1.000623
Sha256,precompile,9,0.913668
Sha256,precompile,10,0.905452
Sha256,precompile,11,0.979634
Sha256,precompile,12,0.74711
Sha256,precompile,13,0.815575
Sha256,precompile,14,0.787298
Sha256,precompile,15,0.831647
Sha256,precompile,16,0.770616
Sha256,precompile,17,0.816925
Sha256,precompile,18,0.804119
Sha256,precompile,19,0.821143
Sha256,precompile,20,0.724578
Sha256,precompile,21,0.823646
Sha256,precompile,22,0.782629
Sha256,precompile,23,0.841711
Sha256,precompile,24,1.017045
Sha256,precompile,25,0.906734
Sha256,precompile,26,0.882008
Sha256,precompile,27,0.949105
Sha256,precompile,28,0.885554
Sha256,precompile,29,0.972039
Sha256,precompile,30,0.835383
Sha256,precompile,31,0.892318
Sha256,precompile,32,1.057697
Sha256,precompile,33,0.934182
Sha256,precompile,34,0.836066
Sha256,precompile,35,0.884664
Sha256,precompile,36,0.796675
Sha256,precompile,37,0.873421
Sha256,precompile,38,0.811845
Sha256,precompile,39,0.813251
Sha256,precompile,40,0.780029
Sha256,precompile,41,0.784212
Sha256,precompile,42,0.823
Sha256,precompile,43,0.792252
Sha256,precompile,44,0.950508
Sha256,precompile,45,0.829438
Sha256,precompile,46,0.96197
Sha256,precompile,47,0.939602
Sha256,precompile,48,0.815077
Sha256,precompile,49,0.85467
Sha256,precompile,50,0.904711
Sha256,precompile,51,1.238111
Sha256,precompile,52,0.911103
Sha256,precompile,53,0.819764
Sha256,precompile,54,0.798765
Sha256,precompile,55,0.895808
Sha256,precompile,56,0.868147
Sha256,precompile,57,0.835318
Sha256,precompile,58,0.807862
Sha256,precompile,59,0.807582
Sha256,precompile,60,0.832483
Sha256,precompile,61,0.895284
Sha256,precompile,62,0.977248
Sha256,precompile,63,0.837207
Sha256,precompile,64,1.05851
Sha256,precompile,65,1.263243
Sha256,precompile,66,1.262551
Sha256,precompile,67,1.300114
Sha256,precompile,68,1.302852
Sha256,precompile,69,1.031167
Sha256,precompile,70,1.28818
Sha256,precompile,71,1.200334
Sha256,precompile,72,1.101821
Sha256,precompile,73,2.611944
Sha256,precompile,74,1.941072
Sha256,precompile,75,1.111969
Sha256,precompile,76,1.610364
Sha256,precompile,77,1.507847
Sha256,precompile,78,1.386243
Sha256,precompile,79,1.017436
Sha256,precompile,80,1.045339
Sha256,precompile,81,0.898337
Sha256,precompile,82,1.000824
Sha256,precompile,83,0.858493
Sha256,precompile,84,0.954576
Sha256,precompile,85,0.804149
Sha256,precompile,86,0.924108
Sha256,precompile,87,0.974353
Sha256,precompile,88,0.9226
Sha256,precompile,89,0.912331
Sha256,precompile,90,0.794135
Sha256,precompile,91,1.02525
Sha256,precompile,92,0.886101
Sha256,precompile,93,0.777619
Sha256,precompile,94,1.010727
Sha256,precompile,95,1.167772
Sha256,precompile,96,1.03816
Sha256,precompile,97,0.843128
Sha256,precompile,98,0.984328
Sha256,precompile,99,1.013839
Sha256,precompile,100,1.039256
Blake2bSum256,upgrade,1,1.172555
Blake2bSum256,upgrade,2,1.190711
Blake2bSum256,upgrade,3,1.02588
Blake2bSum256,upgrade,4,0.922866
Blake2bSum256,upgrade,5,0.900533
Blake2bSum256,upgrade,6,0.84682
Blake2bSum256,upgrade,7,1.495936
Blake2bSum256,upgrade,8,1.230912
Blake2bSum256,upgrade,9,0.947046
Blake2bSum256,upgrade,10,0.88596
Blake2bSum256,upgrade,11,0.808358
Blake2bSum256,upgrade,12,0.817705
Blake2bSum256,upgrade,13,0.991185
Blake2bSum256,upgrade,14,1.146941
Blake2bSum256,upgrade,15,1.019444
Blake2bSum256,upgrade,16,1.07459
Blake2bSum256,upgrade,17,0.939581
Blake2bSum256,upgrade,18,0.923917
Blake2bSum256,upgrade,19,0.905278
Blake2bSum256,upgrade,20,0.962255
Blake2bSum256,upgrade,21,1.046366
Blake2bSum256,upgrade,22,0.972024
Blake2bSum256,upgrade,23,1.083606
Blake2bSum256,upgrade,24,0.996305
Blake2bSum256,upgrade,25,1.128346
Blake2bSum256,upgrade,26,1.026604
Blake2bSum256,upgrade,27,0.861508
Blake2bSum256,upgrade,28,0.944596
Blake2bSum256,upgrade,29,1.048935
Blake2bSum256,upgrade,30,1.003262
Blake2bSum256,upgrade,31,1.185711
Blake2bSum256,upgrade,32,1.07564
Blake2bSum256,upgrade,33,1.347058
Blake2bSum256,upgrade,34,1.397528
Blake2bSum256,upgrade,35,1.107658
Blake2bSum256,upgrade,36,1.026808
Blake2bSum256,upgrade,37,0.97269
Blake2bSum256,upgrade,38,1.063348
Blake2bSum256,upgrade,39,1.165081
Blake2bSum256,upgrade,40,0.969079
Blake2bSum256,upgrade,41,0.957071
Blake2bSum256,upgrade,42,0.920695
Blake2bSum256,upgrade,43,0.921688
Blake2bSum256,upgrade,44,1.077895
Blake2bSum256,upgrade,45,1.057512
Blake2bSum256,upgrade,46,0.895914
Blake2bSum256,upgrade,47,0.969093
Blake2bSum256,upgrade,48,1.112943
Blake2bSum256,upgrade,49,1.100032
Blake2bSum256,upgrade,50,1.023386
Blake2bSum256,upgrade,51,0.979353
Blake2bSum256,upgrade,52,1.182193
Blake2bSum256,upgrade,53,1.117966
Blake2bSum256,upgrade,54,0.908338
Blake2bSum256,upgrade,55,1.112432
Blake2bSum256,upgrade,56,1.055837
Blake2bSum256,upgrade,57,0.97316
Blake2bSum256,upgrade,58,0.96239
Blake2bSum256,upgrade,59,1.008669
Blake2bSum256,upgrade,60,0.945558
Blake2bSum256,upgrade,61,0.983791
Blake2bSum256,upgrade,62,1.119389
Blake2bSum256,upgrade,63,1.134091
Blake2bSum256,upgrade,64,1.150163
Blake2bSum256,upgrade,65,0.954807
Blake2bSum256,upgrade,66,1.057816
Blake2bSum256,upgrade,67,1.607357
Blake2bSum256,upgrade,68,1.330968
Blake2bSum256,upgrade,69,1.131843
Blake2bSum256,upgrade,70,1.028311
Blake2bSum256,upgrade,71,1.061164
Blake2bSum256,upgrade,72,1.034692
Blake2bSum256,upgrade,73,0.955422
Blake2bSum256,upgrade,74,1.094933
Blake2bSum256,upgrade,75,0.984763
Blake2bSum256,upgrade,76,0.977039
Blake2bSum256,upgrade,77,1.102147
Blake2bSum256,upgrade,78,1.072139
Blake2bSum256,upgrade,79,0.919969
Blake2bSum256,upgrade,80,0.969744
Blake2bSum256,upgrade,81,0.927324
Blake2bSum256,upgrade,82,0.932183
Blake2bSum256,upgrade,83,0.977428
Blake2bSum256,upgrade,84,0.898459
Blake2bSum256,upgrade,85,0.977048
Blake2bSum256,upgrade,86,0.993484
Blake2bSum256,upgrade,87,0.971064
Blake2bSum256,upgrade,88,1.080839
Blake2bSum256,upgrade,89,1.027712
Blake2bSum256,upgrade,90,1.125595
Blake2bSum256,upgrade,91,1.076493
Blake2bSum256,upgrade,92,1.000423
Blake2bSum256,upgrade,93,1.069706
Blake2bSum256,upgrade,94,0.941982
Blake2bSum256,upgrade,95,0.946134
Blake2bSum256,upgrade,96,1.032459
Blake2bSum256,upgrade,97,1.112587
Blake2bSum256,upgrade,98,1.022385
Blake2bSum256,upgrade,99,1.745705
Blake2bSum256,upgrade,100,1.139878
Blake2bSum256,contract,1,1.653334
Blake2bSum256,contract,2,1.614515
Blake2bSum256,contract,3,1.679785
Blake2bSum256,contract,4,1.428527
Blake2bSum256,contract,5,1.413689
Blake2bSum256,contract,6,1.292754
Blake2bSum256,contract,7,1.34846
Blake2bSum256,contract,8,1.275085
Blake2bSum256,contract,9,1.289012
Blake2bSum256,contract,10,1.373352
Blake2bSum256,contract,11,1.369641
Blake2bSum256,contract,12,1.198059
Blake2bSum256,contract,13,1.216308
Blake2bSum256,contract,14,1.37245
Blake2bSum256,contract,15,1.462292
Blake2bSum256,contract,16,1.38244
Blake2bSum256,contract,17,1.298299
Blake2bSum256,contract,18,1.277415
Blake2bSum256,contract,19,1.225876
Blake2bSum256,contract,20,1.236238
Blake2bSum256,contract,21,1.222175
Blake2bSum256,contract,22,1.1619
Blake2bSum256,contract,23,1.321935
Blake2bSum256,contract,24,1.241221
Blake2bSum256,contract,25,1.350653
Blake2bSum256,contract,26,1.275226
Blake2bSum256,contract,27,1.236909
Blake2bSum256,contract,28,1.223602
Blake2bSum256,contract,29,1.365808
Blake2bSum256,contract,30,1.271424
Blake2bSum256,contract,31,1.336702
Blake2bSum256,contract,32,1.207109
Blake2bSum256,contract,33,1.360378
Blake2bSum256,contract,34,1.394579
Blake2bSum256,contract,35,1.527055
Blake2bSum256,contract,36,1.765057
Blake2bSum256,contract,37,2.186573
Blake2bSum256,contract,38,1.571665
Blake2bSum256,contract,39,2.120499
Blake2bSum256,contract,40,1.624135
Blake2bSum256,contract,41,1.442003
Blake2bSum256,contract,42,1.478892
Blake2bSum256,contract,43,1.425542
Blake2bSum256,contract,44,1.921399
Blake2bSum256,contract,45,1.608756
Blake2bSum256,contract,46,1.470307
Blake2bSum256,contract,47,1.512757
Blake2bSum256,contract,48,1.22478
Blake2bSum256,contract,49,1.293079
Blake2bSum256,contract,50,3.461052
Blake2bSum256,contract,51,2.709794
Blake2bSum256,contract,52,1.938652
Blake2bSum256,contract,53,1.803495
Blake2bSum256,contract,54,1.551456
Blake2bSum256,contract,55,1.44829
Blake2bSum256,contract,56,1.392773
Blake2bSum256,contract,57,1.365007
Blake2bSum256,contract,58,1.316209
Blake2bSum256,contract,59,1.411875
Blake2bSum256,contract,60,1.210914
Blake2bSum256,contract,61,1.310183
Blake2bSum256,contract,62,1.500679
Blake2bSum256,contract,63,1.324088
Blake2bSum256,contract,64,1.332501
Blake2bSum256,contract,65,1.303778
Blake2bSum256,contract,66,1.33817
Blake2bSum256,contract,67,1.394943
Blake2bSum256,contract,68,1.328763
Blake2bSum256,contract,69,1.244241
Blake2bSum256,contract,70,1.287088
Blake2bSum256,contract,71,1.202357
Blake2bSum256,contract,72,1.167296
Blake2bSum256,contract,73,1.297258
Blake2bSum256,contract,74,1.27566
Blake2bSum256,contract,75,1.394933
Blake2bSum256,contract,76,1.290009
Blake2bSum256,contract,77,1.446251
Blake2bSum256,contract,78,1.466679
Blake2bSum256,contract,79,1.625702
Blake2bSum256,contract,80,1.142373
Blake2bSum256,contract,81,1.159055
Blake2bSum256,contract,82,1.252356
Blake2bSum256,contract,83,1.340346
Blake2bSum256,contract,84,1.162892
Blake2bSum256,contract,85,1.316293
Blake2bSum256,contract,86,1.415047
Blake2bSum256,contract,87,1.670283
Blake2bSum256,contract,88,1.546241
Blake2bSum256,contract,89,1.29312
Blake2bSum256,contract,90,1.298029
Blake2bSum256,contract,91,1.282529
Blake2bSum256,contract,92,1.260197
Blake2bSum256,contract,93,1.294647
Blake2bSum256,contract,94,1.278923
Blake2bSum256,contract,95,1.235751
Blake2bSum256,contract,96,1.190084
Blake2bSum256,contract,97,1.218544
Blake2bSum256,contract,98,1.181837
Blake2bSum256,contract,99,1.229209
Blake2bSum256,contract,100,1.32505
Blake2bSum256,precompile,1,0.936711
Blake2bSum256,precompile,2,0.899221
Blake2bSum256,precompile,3,0.929462
Blake2bSum256,precompile,4,0.78068
Blake2bSum256,precompile,5,0.83033
Blake2bSum256,precompile,6,0.818637
Blake2bSum256,precompile,7,0.89091
Blake2bSum256,precompile,8,0.844446
Blake2bSum256,precompile,9,0.841726
Blake2bSum256,precompile,10,0.848143
Blake2bSum256,precompile,11,0.824398
Blake2bSum256,precompile,12,0.964699
Blake2bSum256,precompile,13,0.755567
Blake2bSum256,precompile,14,0.847196
Blake2bSum256,precompile,15,0.979073
Blake2bSum256,precompile,16,1.107812
Blake2bSum256,precompile,17,0.929608
Blake2bSum256,precompile,18,0.844823
Blake2bSum256,precompile,19,0.900844
Blake2bSum256,precompile,20,0.86196
Blake2bSum256,precompile,21,0.912415
Blake2bSum256,precompile,22,0.800798
Blake2bSum256,precompile,23,0.853052
Blake2bSum256,precompile,24,0.856279
Blake2bSum256,precompile,25,0.823777
Blake2bSum256,precompile,26,0.747788
Blake2bSum256,precompile,27,0.975797
Blake2bSum256,precompile,28,1.189342
Blake2bSum256,precompile,29,1.092328
Blake2bSum256,precompile,30,0.868542
Blake2bSum256,precompile,31,0.743729
Blake2bSum256,precompile,32,0.815708
Blake2bSum256,precompile,33,0.759224
Blake2bSum256,precompile,34,0.992518
Blake2bSum256,precompile,35,0.858724
Blake2bSum256,precompile,36,0.78863
Blake2bSum256,precompile,37,0.834276
Blake2bSum256,precompile,38,0.904641
Blake2bSum256,precompile,39,0.92313
Blake2bSum256,precompile,40,0.795909
Blake2bSum256,precompile,41,0.82495
Blake2bSum256,precompile,42,0.708248
Blake2bSum256,precompile,43,0.924409
Blake2bSum256,precompile,44,0.780514
Blake2bSum256,precompile,45,0.727374
Blake2bSum256,precompile,46,0.826502
Blake2bSum256,precompile,47,0.781145
Blake2bSum256,precompile,48,0.894462
